GameID,Title,Max Players,Review Score,Sales,Price,Category,Year
224,NBA LIVE 07 ,1,59,,4.95,T,2006
225,Excite Truck,2,72,0.4,19.95,M,2006
226,Harvest Moon DS,1,67,0.4,17.95,T,2006
227,Star Fox Command,1,76,0.39,14.95,T,2006
228,Metal Gear Solid: Portable Ops,1,87,0.39,17.95,T,2006
229,Marvel Ultimate Alliance,4,73,0.38,17.95,M,2006
230,Blazing Angels: Squadrons of WWII,2,66,0.37,16.95,E,2006
231,Major League Baseball 2K6,2,66,0.37,4.95,T,2006
232,NCAA Football 07,1,75,0.36,9.95,T,2006
233,MLB 06: The Show,2,83,0.35,9.95,T,2006
234,Blazing Angels: Squadrons of WWII,2,67,0.35,16.95,T,2006
235,WWE SmackDown vs. Raw 2007,4,78,0.34,14.95,T,2006
236,Rune Factory: A Fantasy Harvest Moon,1,78,0.34,24.95,T,2006
237,Marvel Ultimate Alliance,1,81,0.34,22.95,E,2006
238,Marvel Ultimate Alliance,4,78,0.33,24.95,M,2006
239,Tiger Woods PGA Tour 07,4,81,0.32,14.95,E,2006
240,Ace Combat X: Skies of Deception,1,75,0.32,22.95,E,2006
241,Killzone: Liberation,1,77,0.32,16.95,M,2006
242,F.E.A.R.: First Encounter Assault Recon,1,85,0.32,17.95,E,2006
243,NBA 2K7,7,80,0.31,7.95,E,2006
244,Tony Hawk's Project 8,2,76,0.3,14.95,T,2006
245,Avatar: The Last Airbender,1,64,0.3,17.95,E,2006
246,Castlevania: Portrait of Ruin,1,85,0.3,17.95,M,2006
247,Hitman: Blood Money,1,82,0.29,22.95,E,2006
248,Rockstar Games presents Table Tennis,2,81,0.28,9.95,M,2006
249,Trauma Center: Second Opinion,1,80,0.28,17.95,T,2006
250,Tenchu Z,1,56,0.28,14.95,E,2006
251,Elite Beat Agents,1,87,0.27,9.95,M,2006
252,Street Fighter Alpha 3 MAX,1,80,0.27,14.95,M,2006
253,Blue Dragon,1,79,0.27,14.95,T,2006
254,The Lord of the Rings: The Battle for Middle Ea...,1,79,0.27,19.95,T,2006
255,Prey,1,79,0.27,14.95,T,2006
256,Over the Hedge,1,71,0.26,16.95,E,2006
257,Capcom Classics Collection Reloaded,1,75,0.26,17.95,T,2006
